system:index,area_km2,band,class,class_name,.geo
13_0_11,109.36721766645496,classification_1998,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_12,20.564149470095877,classification_1998,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0_13,39.629623883117944,classification_1998,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_0,7160.880709631753,classification_1999,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_1,77.54118684564209,classification_1999,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_2,20.910251339477455,classification_1999,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_3,4248.189103091387,classification_1999,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_4,10765.890049235317,classification_1999,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_5,26.615133607197738,classification_1999,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_6,34.75519048645028,classification_1999,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_7,466.7764163787274,classification_1999,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_8,0.13316355407714847,classification_1999,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_9,126.94411268516195,classification_1999,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_10,13.531840770324697,classification_1999,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_11,109.44870431954112,classification_1999,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_12,20.270959988040214,classification_1999,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_13,40.4706287561647,classification_1999,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_0,7085.238157368766,classification_2000,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_1,79.19236416082752,classification_2000,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_2,22.721363645263715,classification_2000,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_3,4264.913739153376,classification_2000,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_4,10819.652693126845,classification_2000,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_5,26.59665714538557,classification_2000,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_6,43.860554579528696,classification_2000,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_7,451.46125178363064,classification_2000,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_8,0.13316355407714847,classification_2000,27,Non Observed,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_9,128.21924954331533,classification_2000,29,Rocky outcrop,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_10,14.142844159606915,classification_2000,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_11,114.35565624490513,classification_2000,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_12,19.91558574127494,classification_2000,34,Glacier,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_13,41.954170482421944,classification_2000,68,Other natural non-vegetated area,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_0,7086.7013186129525,classification_2001,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_1,80.08204500689679,classification_2001,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_2,25.064330147277886,classification_2001,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_3,4263.389223899422,classification_2001,13,Other Non Forest Natural Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_4,10826.899346675527,classification_2001,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_5,27.134711801574575,classification_2001,23,Beach and Dune,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_6,45.15777311267082,classification_2001,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_7,441.566035456847,classification_2001,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
